_id,_form_id,_locale,_savepoint_type,_savepoint_timestamp,_savepoint_creator,value,_row_etag,_filter_type,_filter_value
1,,en,COMPLETE,2014-09-15T22:10:10.000000774,anonymous,1,,DEFAULT,
2,,en,COMPLETE,2014-09-15T22:10:10.000000775,anonymous,2,,DEFAULT,
3,,en,COMPLETE,2014-09-15T22:10:10.000000776,anonymous,3,,DEFAULT,
4,,en,COMPLETE,2014-09-15T22:10:10.000000777,anonymous,4,,DEFAULT,
5,,en,COMPLETE,2014-09-15T22:10:10.000000778,anonymous,5,,DEFAULT,
6,,en,COMPLETE,2014-09-15T22:10:10.000000779,anonymous,6,,DEFAULT,
7,,en,COMPLETE,2014-09-15T22:10:10.000000780,anonymous,7,,DEFAULT,
8,,en,COMPLETE,2014-09-15T22:10:10.000000781,anonymous,8,,DEFAULT,
9,,en,COMPLETE,2014-09-15T22:10:10.000000782,anonymous,9,,DEFAULT,
10,,en,COMPLETE,2014-09-15T22:10:10.000000783,anonymous,10,,DEFAULT,
11,,en,COMPLETE,2014-09-15T22:10:10.000000784,anonymous,11,,DEFAULT,
12,,en,COMPLETE,2014-09-15T22:10:10.000000785,anonymous,12,,DEFAULT,
13,,en,COMPLETE,2014-09-15T22:10:10.000000786,anonymous,13,,DEFAULT,
14,,en,COMPLETE,2014-09-15T22:10:10.000000787,anonymous,14,,DEFAULT,
15,,en,COMPLETE,2014-09-15T22:10:10.000000788,anonymous,15,,DEFAULT,
16,,en,COMPLETE,2014-09-15T22:10:10.000000789,anonymous,16,,DEFAULT,
17,,en,COMPLETE,2014-09-15T22:10:10.000000790,anonymous,17,,DEFAULT,
18,,en,COMPLETE,2014-09-15T22:10:10.000000791,anonymous,18,,DEFAULT,
19,,en,COMPLETE,2014-09-15T22:10:10.000000792,anonymous,19,,DEFAULT,
20,,en,COMPLETE,2014-09-15T22:10:10.000000793,anonymous,20,,DEFAULT,
